# Homework #2.txt
# nu phi e
1000 -3.29895e-05 0.001
1001 0.00040748 0.001
1002 0.00090474 0.001
1003 0.000863357 0.000746385
1004 0.000720473 0.001
1005 0.000337367 0.000170495
1006 -0.00103188 0.001
1007 -0.000818988 0.001
1008 0.00226167 0.001
1009 0.000472632 0.001
1010 0.00192147 0.001
1011 -0.000326022 0.001
1012 0.00041862 0.001
1013 0.00307216 0.001
1014 0.00306726 0.001
1015 0.00255634 0.000996158
1016 0.00367681 0.000843272
1017 0.00142542 0.001
1018 0.00488071 0.000916108
1019 0.00478185 0.001
1020 0.00449731 0.001
1021 0.00648376 0.001
1022 0.00696737 0.001
1023 0.00733356 0.001
1024 0.00803918 0.001
1025 0.0101506 0.000892071
1026 0.00840086 0.001
1027 0.0108407 0.001
1028 0.0130375 0.001
1029 0.014303 0.001
1030 0.0173619 0.001
1031 0.0180863 0.001
1032 0.0177972 0.00052294
1033 0.0189849 0.001
1034 0.0223907 0.001
1035 0.0225673 0.001
1036 0.024824 0.001
1037 0.0268699 0.00087765
1038 0.0285616 0.001
1039 0.0289505 0.001
1040 0.0292414 0.000287749
1041 0.0298093 9.06742e-05
1042 0.0291268 0.001
1043 0.0311411 0.001
1044 0.0317846 0.000625726
1045 0.0318128 0.000476922
1046 0.0307951 0.001
1047 0.0300377 0.001
1048 0.0295107 0.001
1049 0.0298976 0.001
1050 0.029369 0.001
1051 0.0277399 0.001
1052 0.0261951 0.000478298
1053 0.0250451 0.001
1054 0.0239044 0.000312286
1055 0.0229915 0.000118419
1056 0.0213936 0.001
1057 0.0216325 0.001
1058 0.0192423 0.001
1059 0.0172567 0.001
1060 0.0145853 0.001
1061 0.0143284 0.000161255
1062 0.0119285 0.001
1063 0.0112712 0.001
1064 0.0111115 0.001
1065 0.0101519 0.001
1066 0.00739835 0.000533882
1067 0.00692759 0.001
1068 0.00790219 0.001
1069 0.00654076 0.001
1070 0.00601005 0.001
1071 0.00476213 0.000485032
1072 0.00330993 1.12325e-05
1073 0.00154317 0.001
1074 0.000693141 0.001
1075 0.00242631 0.001
1076 0.00217313 0.001
1077 0.000763871 0.001
1078 0.000469659 0.001
1079 -0.000994909 0.001
1080 2.58343e-06 0.001
1081 3.73958e-05 0.001
1082 0.000511228 0.001
1083 0.00171579 0.001
1084 -0.00195846 0.001
1085 -0.000410586 0.001
1086 -0.000704791 0.001
1087 -1.48069e-05 0.001
1088 9.90099e-05 1.91427e-05
1089 0.000582453 0.001
1090 0.00115344 0.001
1091 0.000949095 0.001
1092 0.000778719 0.001
1093 0.00124755 0.001
1094 -0.000367271 0.001
1095 0.000253417 0.001
1096 4.71589e-05 0.001
1097 0.000210876 0.001
1098 -4.48755e-05 0.000132059
1099 -0.00181573 0.001
